"Category_TX","Subject_TX","Class_TX","Type_TX","Name_TX","Version_DC","Alias_TX","Desc_TX","Usage_TX","Comment_TX"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Category.Changed_DS",1,"Changed_DS","The date and time that this record was last changed.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Category.Status_CD",1,"Status_CD","The status field contains the status of the record.","The status of a record is generally active but can be set to inactive or a number of other states as required by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Subject.Category_ID",1,"Category_ID","Foreign Key (FK) to the category table.","Used to link to the category table.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Subject.Category_TX",1,"Category_TX","This field contains the name of the category.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Subject.Subject_ID",1,"Subject_ID","Primary Key (PK) of the subject table.","Used to uniquely identify a subject record.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Subject.Subject_TX",1,"Subject_TX","This field contains the name of the subject.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Subject.Creator_ID",1,"Creator_ID","The user id of the person or process that created this record.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Subject.Created_DS",1,"Created_DS","The date and time that this record was created.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Subject.Changer_ID",1,"Changer_ID","The user id of the person or process that changed this record.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Subject.Changed_DS",1,"Changed_DS","The date and time that this record was last changed.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Subject.Status_CD",1,"Status_CD","The status field contains the status of the record.","The status of a record is generally active but can be set to inactive or a number of other states as required by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Category_ID",1,"Category_ID","Foreign Key (FK) to the category table.","Used to link to the category table.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Category_TX",1,"Category_TX","This field contains the name of the category.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Category_DC",1,"Category_DC","This field contains the version of the category.","This field is for future use. The default value is set to 0 (zero).","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Subject_ID",1,"Subject_ID","Foreign Key (FK) to the subject table.","Used to link to the subject table.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Subject_TX",1,"Subject_TX","This field contains the name of the subject.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Subject_DC",1,"Subject_DC","This field contains the version of the subject.","This field is for future use. The default value is set to 0 (zero).","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Class_ID",1,"Class_ID","Foreign Key (FK) to the class table.","Used to link to the subject table.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Class_TX",1,"Class_TX","This field contains the name of the class.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Class_DC",1,"Class_DC","This field contains the version of the class.","This field is for future use. The default value is set to 0 (zero).","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Type_ID",1,"Type_ID","Primary Key (PK) of the type table.","Used to uniquely identify a class record.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Type_TX",1,"Type_TX","This field contains the name of the type.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Type_DC",1,"Type_DC","This field contains the version of the type.","This field is for future use. The default value is set to 0 (zero).","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Unique_FL",1,"Unique_FL","This field is for future use.","This field is for future use.  The default value is set to N (No).","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Creator_ID",1,"Creator_ID","The user id of the person or process that created this record.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Created_DS",1,"Created_DS","The date and time that this record was created.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Changer_ID",1,"Changer_ID","The user id of the person or process that changed this record.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Changed_DS",1,"Changed_DS","The date and time that this record was last changed.","Maintained by the administrator.","No comment"
"SuperLuminate","Application","Column","Prod","SL_Prod.SL_Type.Status_CD",1,"Status_CD","The status field contains the status of the record.","The status of a record is generally active but can be set to inactive or a number of other states as required by the administrator.","No comment"
